
Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:36:45 2021
Timers Off: Fri Nov  5 10:37:22 2021

Wall Time:       36.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: Grabbing AOs                   :      0.050u      0.000s      0.001w    101 calls
DFH: compute_J                      :     75.717u      3.267s      1.997w    101 calls
JK: AO2USO                          :      3.333u      0.550s      0.099w    101 calls
HF: Form F                          :      0.333u      0.050s      0.020w    101 calls
HF: Form D                          :      0.633u      0.050s      0.022w    101 calls
HF: DIIS                            :     18.900u      2.417s      0.941w    100 calls
DIISManager::add_entry              :      1.650u      0.267s      0.082w    100 calls
DIISManager::extrapolate            :     10.733u      1.133s      0.598w    100 calls
bMatrix setup                       :      6.133u      0.767s      0.342w    100 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.009w    100 calls
New vector                          :      4.383u      0.367s      0.244w    100 calls
HF: Form C                          :     41.517u      4.933s      1.314w    100 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.517u      0.050s      0.083w      1 calls
DFH: sparsity prep                  :      0.917u      0.017s      0.571w      1 calls
| Libint2ERI::Libint2ERI            :      0.583u      0.017s      0.363w      1 calls
DFH: initialize()                   :     35.250u      2.867s      1.703w      1 calls
| Libint2ERI::Libint2ERI            :      3.917u      0.100s      0.357w     13 calls
| DFH: AO Construction              :      7.783u      0.233s      0.402w      1 calls
| DFH: AO-Met. Contraction          :     13.700u      0.950s      0.455w      1 calls
HF: Form core H                     :      1.667u      0.117s      0.087w      1 calls
HF: Form S/X                        :      0.667u      0.300s      0.024w      1 calls
HF: Guess                           :      7.133u      0.767s      0.331w      1 calls
| SAD Guess                         :      7.033u      0.767s      0.326w      1 calls
HF: Form G                          :    937.400u     75.583s     27.377w    101 calls
| RV: Form V                        :    747.517u     58.800s     19.307w    101 calls
| | Properties                      :     86.640p                         140390 calls
| | Functional                      :     21.224p                         140390 calls
| | V_xc                            :    118.330p                         140390 calls
| JK: D                             :      0.600u      0.067s      0.024w    101 calls
| JK: USO2AO                        :      4.867u      0.617s      0.172w    101 calls
| JK: JK                            :    175.200u     14.450s      7.541w    101 calls
| | DFH: compute_JK()               :    175.183u     14.450s      7.539w    101 calls
| | | DFH: Grabbing AOs             :      0.050u      0.000s      0.001w    101 calls
| | | DFH: compute_J                :     75.717u      3.267s      1.997w    101 calls
| JK: AO2USO                        :      3.333u      0.550s      0.099w    101 calls
HF: Form F                          :      0.333u      0.050s      0.020w    101 calls
HF: Form D                          :      0.633u      0.050s      0.022w    101 calls
HF: DIIS                            :     18.900u      2.417s      0.941w    100 calls
| DIISManager::add_entry            :      1.650u      0.267s      0.082w    100 calls
| DIISManager::extrapolate          :     10.733u      1.133s      0.598w    100 calls
| | bMatrix setup                   :      6.133u      0.767s      0.342w    100 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.009w    100 calls
| | New vector                      :      4.383u      0.367s      0.244w    100 calls
HF: Form C                          :     41.517u      4.933s      1.314w    100 calls

**************************************************************************************

Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:45:05 2021
Timers Off: Fri Nov  5 10:45:39 2021

Wall Time:       34.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.067s      0.086w      1 calls
DFH: sparsity prep                  :      0.933u      0.017s      0.566w      1 calls
Libint2ERI::Libint2ERI              :      4.433u      0.133s      0.723w     14 calls
DFH: initialize()                   :     34.900u      2.600s      1.777w      1 calls
DFH: AO Construction                :      8.033u      0.250s      0.414w      1 calls
DFH: AO-Met. Contraction            :     13.550u      0.867s      0.452w      1 calls
HF: Form core H                     :      1.683u      0.083s      0.086w      1 calls
HF: Form S/X                        :      0.500u      0.067s      0.015w      1 calls
HF: Guess                           :      7.167u      0.717s      0.329w      1 calls
SAD Guess                           :      7.083u      0.717s      0.324w      1 calls
HF: Form G                          :    935.967u     69.433s     27.074w    101 calls
